Выигрыш алгоритма Hedge на шаге 124 (2007-10-03 00:00:00): -14.442365576543901, денежный выигрыш: 73.93817231560169, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 125 (2007-10-04 00:00:00): -3.1762880407791734, денежный выигрыш: 70.76188427482252, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 126 (2007-10-05 00:00:00): 10.998237267970762, денежный выигрыш: 81.76012154279329, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 127 (2007-10-06 00:00:00): 0.4237475584136167, денежный выигрыш: 82.18386910120691, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 128 (2007-10-07 00:00:00): 0.42379067476453264, денежный выигрыш: 82.60765977597144, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 129 (2007-10-08 00:00:00): 0.4238358611267442, денежный выигрыш: 83.03149563709819, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 130 (2007-10-09 00:00:00): 9.766807356360307, денежный выигрыш: 92.79830299345849, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 131 (2007-10-10 00:00:00): -6.151244761338676, денежный выигрыш: 86.64705823211982, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 132 (2007-10-11 00:00:00): 13.421455516580066, денежный выигрыш: 100.06851374869989, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 133 (2007-10-12 00:00:00): -3.2471041791840793, денежный выигрыш: 96.82140956951581, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 134 (2007-10-13 00:00:00): 2.611189387799373, денежный выигрыш: 99.43259895731518, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 135 (2007-10-14 00:00:00): 2.6112405826869303, денежный выигрыш: 102.04383954000211, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 136 (2007-10-15 00:00:00): 2.611316721344926, денежный выигрыш: 104.65515626134703, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 137 (2007-10-16 00:00:00): -7.596332710236097, денежный выигрыш: 97.05882355111093, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 138 (2007-10-17 00:00:00): 8.919760338297582, денежный выигрыш: 105.97858388940851, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 139 (2007-10-18 00:00:00): -11.540042026656733, денежный выигрыш: 94.43854186275178, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 140 (2007-10-19 00:00:00): -6.996007271422037, денежный выигрыш: 87.44253459132975, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 141 (2007-10-20 00:00:00): -5.122604675339023, денежный выигрыш: 82.31992991599073, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 142 (2007-10-21 00:00:00): -5.122294360964284, денежный выигрыш: 77.19763555502644, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 143 (2007-10-22 00:00:00): -5.1219823439355165, денежный выигрыш: 72.07565321109092, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 144 (2007-10-23 00:00:00): 8.737914080772343, денежный выигрыш: 80.81356729186327, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 145 (2007-10-24 00:00:00): -0.7994137670644272, денежный выигрыш: 80.01415352479884, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 146 (2007-10-25 00:00:00): 11.856619198211261, денежный выигрыш: 91.8707727230101, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 147 (2007-10-26 00:00:00): 18.346432763678305, денежный выигрыш: 110.21720548668841, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 148 (2007-10-27 00:00:00): 3.1885198703103184, денежный выигрыш: 113.40572535699873, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 149 (2007-10-28 00:00:00): 3.1886106792828577, денежный выигрыш: 116.59433603628159, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 150 (2007-10-29 00:00:00): 3.1886339002858213, денежный выигрыш: 119.78296993656741, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 151 (2007-10-30 00:00:00): -7.910445013896707, денежный выигрыш: 111.8725249226707, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 152 (2007-10-31 00:00:00): 7.421832496637988, денежный выигрыш: 119.2943574193087, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 153 (2007-11-01 00:00:00): -8.567014240460605, денежный выигрыш: 110.72734317884809, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 154 (2007-11-02 00:00:00): 5.7011889208093685, денежный выигрыш: 116.42853209965746, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 155 (2007-11-03 00:00:00): 4.203776836569853, денежный выигрыш: 120.63230893622732, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 156 (2007-11-04 00:00:00): 4.204247648974553, денежный выигрыш: 124.83655658520188, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 157 (2007-11-05 00:00:00): 4.204718514372756, денежный выигрыш: 129.04127509957462, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 158 (2007-11-06 00:00:00): 4.053199072683513, денежный выигрыш: 133.09447417225815, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 159 (2007-11-07 00:00:00): -3.361002752236586, денежный выигрыш: 129.73347142002157, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 160 (2007-11-08 00:00:00): 2.3568230862181294, денежный выигрыш: 132.0902945062397, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 161 (2007-11-09 00:00:00): -13.313658584055847, денежный выигрыш: 118.77663592218386, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 162 (2007-11-10 00:00:00): 0.3760766654519162, денежный выигрыш: 119.15271258763578, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 163 (2007-11-11 00:00:00): 0.3761538755715709, денежный выигрыш: 119.52886646320735, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 164 (2007-11-12 00:00:00): 0.37624747903925837, денежный выигрыш: 119.90511394224662, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 165 (2007-11-13 00:00:00): -7.4602635196457925, денежный выигрыш: 112.44485042260082, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 166 (2007-11-14 00:00:00): 17.53388684322649, денежный выигрыш: 129.9787372658273, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 167 (2007-11-15 00:00:00): -6.509962987969947, денежный выигрыш: 123.46877427785736, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 168 (2007-11-16 00:00:00): -5.773896511442029, денежный выигрыш: 117.69487776641533, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 169 (2007-11-17 00:00:00): -3.242855167018981, денежный выигрыш: 114.45202259939634, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 170 (2007-11-18 00:00:00): -3.2425939380074564, денежный выигрыш: 111.20942866138888, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 171 (2007-11-19 00:00:00): -3.242416938854584, денежный выигрыш: 107.9670117225343, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 172 (2007-11-20 00:00:00): 4.692342931239087, денежный выигрыш: 112.65935465377338, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 173 (2007-11-21 00:00:00): -14.82928402580178, денежный выигрыш: 97.8300706279716, eta: 1e-05, большая delta: 0
Выигрыш алгоритма Hedge на шаге 174 (2007-11-22 00:00:00): -3.1487021243035667, денежный выигрыш: 94.68136850366803, eta: 1e-05, большая delta: 0
