Выигрыш алгоритма Hedge на шаге 139 (2007-10-18 00:00:00): -11.731887606731624, денежный выигрыш: 92.56488689635052, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 140 (2007-10-19 00:00:00): -7.402835971151904, денежный выигрыш: 85.16205092519861, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 141 (2007-10-20 00:00:00): -5.138734876471588, денежный выигрыш: 80.02331604872703, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 142 (2007-10-21 00:00:00): -5.144076237112594, денежный выигрыш: 74.87923981161443, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 143 (2007-10-22 00:00:00): -5.138097649676752, денежный выигрыш: 69.74114216193767, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 144 (2007-10-23 00:00:00): 8.716961072296684, денежный выигрыш: 78.45810323423436, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 145 (2007-10-24 00:00:00): -0.6744135090749211, денежный выигрыш: 77.78368972515943, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 146 (2007-10-25 00:00:00): 12.292160448562946, денежный выигрыш: 90.07585017372239, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 147 (2007-10-26 00:00:00): 17.817857976591224, денежный выигрыш: 107.89370815031361, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 148 (2007-10-27 00:00:00): 3.2530202048682333, денежный выигрыш: 111.14672835518185, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 149 (2007-10-28 00:00:00): 3.2574329436115588, денежный выигрыш: 114.40416129879341, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 150 (2007-10-29 00:00:00): 3.2618174692813042, денежный выигрыш: 117.66597876807472, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 151 (2007-10-30 00:00:00): -7.970019074084348, денежный выигрыш: 109.69595969399037, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 152 (2007-10-31 00:00:00): 8.302159204095359, денежный выигрыш: 117.99811889808574, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 153 (2007-11-01 00:00:00): -8.98168211198656, денежный выигрыш: 109.01643678609918, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 154 (2007-11-02 00:00:00): 6.314694030656154, денежный выигрыш: 115.33113081675533, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 155 (2007-11-03 00:00:00): 3.7056096636399762, денежный выигрыш: 119.03674048039531, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 156 (2007-11-04 00:00:00): 3.724998681868259, денежный выигрыш: 122.76173916226357, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 157 (2007-11-05 00:00:00): 3.7444309856939664, денежный выигрыш: 126.50617014795753, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 158 (2007-11-06 00:00:00): 3.763956945764232, денежный выигрыш: 130.27012709372175, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 159 (2007-11-07 00:00:00): -3.588727077844191, денежный выигрыш: 126.68140001587756, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 160 (2007-11-08 00:00:00): 2.3376653907226204, денежный выигрыш: 129.0190654066002, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 161 (2007-11-09 00:00:00): -11.66834617764385, денежный выигрыш: 117.35071922895634, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 162 (2007-11-10 00:00:00): 0.4428578480039226, денежный выигрыш: 117.79357707696026, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 163 (2007-11-11 00:00:00): 0.4458598600406156, денежный выигрыш: 118.23943693700087, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 164 (2007-11-12 00:00:00): 0.44887854499752333, денежный выигрыш: 118.6883154819984, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 165 (2007-11-13 00:00:00): -7.4963527967018635, денежный выигрыш: 111.19196268529655, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 166 (2007-11-14 00:00:00): 16.90398685352326, денежный выигрыш: 128.0959495388198, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 167 (2007-11-15 00:00:00): -5.3671904553195695, денежный выигрыш: 122.72875908350024, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 168 (2007-11-16 00:00:00): -6.3846619845253665, денежный выигрыш: 116.34409709897487, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 169 (2007-11-17 00:00:00): -3.0272221457015878, денежный выигрыш: 113.31687495327328, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 170 (2007-11-18 00:00:00): -3.0186601722738, денежный выигрыш: 110.29821478099949, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 171 (2007-11-19 00:00:00): -3.010207272809032, денежный выигрыш: 107.28800750819046, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 172 (2007-11-20 00:00:00): 5.70925565242493, денежный выигрыш: 112.99726316061539, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 173 (2007-11-21 00:00:00): -14.180667539134987, денежный выигрыш: 98.8165956214804, eta: 0.0005, большая delta: 0
Выигрыш алгоритма Hedge на шаге 174 (2007-11-22 00:00:00): -2.479764997251118, денежный выигрыш: 96.33683062422928, eta: 0.0005, большая delta: 0
